sentence_index,insult_rating,foul_language
0,0.022581675645264924,[]
1,0.014385475015488893,[]
2,0.2790088154704751,[]
3,0.03772957399923375,[]
4,0.1622154013303404,[]
5,0.19739190909191973,[]
6,0.12348038973780213,[]
7,0.06282907948898254,[]
8,0.15351890281963537,[]
9,0.3659675810395552,[]
10,0.10922515296996482,[]
11,0.08521606952045613,[]
12,0.0691373190080391,[]
13,0.1487614802777341,[]
14,0.09401147206961954,[]
15,0.2583714279725818,[]
16,0.03781945190618063,[]
17,0.26266148922665106,[]
18,0.22337702446897353,[]
19,0.08295743104476418,[]
20,0.05856840470715941,[]
21,0.19442034188106871,[]
22,0.10058149968038588,[]
23,0.08356838956151487,[]
24,0.15204904258226326,[]
25,0.1138445249667622,[]
26,0.09403689316106906,[]
27,0.0,[]
28,0.0885166289003818,[]
29,0.22977506729804442,[]
30,0.05755544210715964,[]
31,0.1026256466004531,[]
32,0.09341466053902554,[]
33,0.04404029211450283,[]
34,0.1880275509320798,[]
35,0.09566021739568645,[]
36,0.11418220568434084,[]
37,0.14625055651600244,[]
38,0.09566021739568645,[]
39,0.09838205664185015,[]
40,0.22555003104443933,[]
41,0.15266844497349402,[]
42,0.058720616258408284,[]
43,0.13474115581609758,[]
44,0.08157271370763394,[]
45,0.19182620944852777,[]
46,0.05776716418820545,[]
47,0.18677132695953005,[]
48,0.11496405048325237,[]
49,0.019204055353749295,[]
50,0.004861028085278586,[]
51,0.0,[]
52,0.16476024907112796,[]
53,0.1644641700444787,[]
54,0.032134855255466804,[]
55,0.058803331201558506,[]
56,0.11735021301897719,[]
57,0.10864053213527701,[]
58,0.15379315871139268,[]
59,0.05700776046853975,[]
60,0.02887599331622768,[]
61,0.15160788689350688,[]
62,0.20086650597280414,[]
63,0.14230164984182195,[]
64,0.0627029905053646,[]
65,0.07263853971563242,[]
66,0.13396954909626166,[]
67,0.08389184173102761,[]
68,0.14603693707651377,[]
69,0.11697904210018316,[]
70,0.335476335072322,[]
71,0.029159535977455762,[]
72,0.13613950979815637,[]
73,0.14874035556812645,[]
74,0.023059794685109047,[]
75,0.007145901399207366,[]
76,0.03259934078343036,[]
77,0.02823700232628448,[]
78,0.05557781698334727,[]
79,0.07905520109917055,[]
80,0.025937469728647078,[]
81,0.08389184173102761,[]
82,0.03349257243307635,[]
83,0.009859160801209448,[]
84,0.1271645782462615,[]
85,0.03450530901581121,[]
86,0.020685521316613206,[]
87,0.1151994891018757,[]
88,0.05258555708223641,[]
89,0.057637586168921756,[]
90,0.08894740595480673,[]
91,0.13486134157876178,[]
92,0.2670986814264784,[]
93,0.18922231157820457,[]
94,0.10103598444343753,[]
95,0.1151994891018757,[]
96,0.07212143801753126,[]
97,0.07863768291316225,[]
98,0.12074513001585356,[]
99,0.09309732343454033,[]
100,0.0834960304873223,[]
101,0.08517390951570726,[]
102,0.014859994358611734,[]
103,0.03305759398126327,[]
104,0.08340934099675351,[]
105,0.23708802604243553,[]
106,0.32187156163138847,[]
107,0.1153643699672893,[]
108,0.03407928413957395,[]
109,0.0,[]
110,0.08928849528643548,[]
111,0.07253747053153262,[]
112,0.127301334597984,[]
113,0.14067687002427864,[]
114,0.15702558316925408,[]
115,0.03431008891828803,[]
116,0.13332782981907712,[]
117,0.20784921341965823,[]
118,0.216864128910876,[]
119,0.1844737213495547,[]
120,0.11743358793178797,[]
121,0.5466120983530379,[]
122,0.07351728234357323,[]
123,0.08517390951570726,[]
124,0.3151070886152077,[]
125,0.05707722776395328,[]
126,0.16500463560772968,[]
127,0.02647692981605148,[]
128,0.13636010110002889,[]
129,0.4827675074049987,[]
130,0.09203525362684414,[]
131,0.2278525617309532,[]
132,0.02793048284372929,[]
133,0.03418142493919035,[]
134,0.16985854038992237,[]
135,0.1348873597275266,[]
136,0.11627518835368106,[]
137,0.11493189013744483,[]
138,0.0,[]
139,0.03932071793476268,[]
140,0.017539206914609733,[]
141,0.10617562351572368,[]
142,0.0,[]
143,0.09157569835184766,[]
144,0.25349952608027776,[]
145,0.2646464837546092,[]
146,0.04291466621912915,[]
147,0.13526130814785187,[]
148,0.02195537582495401,[]
149,0.1845963668757727,[]
150,0.016732652900957993,[]
151,0.059278510034716465,[]
152,0.18337591087229524,[]
153,0.0693578801463155,[]
154,0.30114538383541883,[]
155,0.01572112868576951,[]
156,0.17920522908600273,[]
157,0.18537247512930832,[]
158,0.11583538524609802,[]
159,0.05914877640872587,[]
160,0.16327955645218972,[]
161,0.11493189013744483,[]
162,0.07818007871165547,[]
163,0.10045538695213405,[]
164,0.08587700883759954,[]
165,0.022533471829156784,[]
166,0.014607749817537487,[]
167,0.08899733938496633,[]
168,0.22739897335671674,[]
169,0.08360159013761785,[]
170,0.22287917687003228,[]
171,0.09376440518241572,[]
172,0.2047150244230088,[]
173,0.07510543856228437,[]
174,0.28240710629471083,[]
175,0.28950590330607534,[]
176,0.06223075909860856,[]
177,0.2578546170580946,[]
178,0.36358438512819585,[]
179,0.0,[]
180,0.25672810335346546,[]
181,0.4827675074049987,[]
182,0.002048084859171775,[]
183,0.08389184173102761,[]
184,0.0817068868486447,[]
185,0.08209492803590891,[]
186,0.0061651855299185605,[]
187,0.13686409368879854,[]
188,0.09838205664185015,[]
189,0.1742562930754288,[]
190,0.09989823309432581,[]
191,0.16886680942727286,[]
192,0.15711160311540467,[]
193,0.10792307336721564,[]
194,0.0,[]
195,0.21868868206659248,[]
196,0.16761550545258067,[]
197,0.2689369203851653,[]
198,0.07315929242580978,[]
199,0.10022878359121064,[]
200,0.1984932913631776,[]
201,0.0,[]
202,0.1523477050388899,[]
203,0.3833051452409225,[]
204,0.01823553637396255,[]
205,0.1498462876412602,[]
206,0.032219248345009936,[]
207,0.0867213248601217,[]
208,0.30086807532295623,[]
209,0.1353975403793737,[]
210,0.12751016725269915,[]
211,0.039298839067732794,[]
212,0.1524292722692863,[]
213,0.0027233828118906974,[]
214,0.0413906678708823,[]
